Danish_monarch;Birth_year;Death_year;Start_of_reign;End_of_reign;Duration_of_reign
Gorm_den_gamle;;958;936;958;22
Harald_first_blaatand;;987;958;987;29
Svend_first_tveskaeg;;1014;987;1014;27
Harald_second_svensen;;1018;1014;1018;4
Knud_second_den_store;995;1035;1018;1035;17
Hardeknud;1020;1042;1035;1042;7
Magnus_first_den_gode;1024;1047;1042;1047;5
Svend_second_estridsen;;1076;1047;1074;27
Harald_third_hen;;1080;1074;1080;6
Knud_fourth_den_hellige;;1086;1080;1086;6
Oluf_first_hunger;;1095;1086;1095;9
Erik_first_ejegod;1056;1103;1095;1103;8
Niels;;1134;1104;1134;30
Erik_second_emune;;1137;1134;1137;3
Erik_third_lam;;1146;1137;1146;9
Svend_third_grathe;;1157;1146;1157;11
Knud_fifth_magnussen;;1157;1146;1157;11
Valdemar_first_den_store;1131;1182;1157;1182;25
Knud_sixth;1163;1202;1182;1202;20
Valdemar_second_sejr;1170;1241;1202;1241;39
Erik_fourth_plovpenning;1216;1250;1241;1250;9
Abel;1218;1252;1250;1252;2
Christoffer_first;1219;1259;1252;1259;7
Erik_fifth_klipping;1249;1286;1259;1286;27
Erik_sixth_menved;1274;1319;1286;1319;33
Christoffer_second;1276;1332;1320;1326;6
Valdemar_thrid_eriksen;1314;1330;1326;1330;4
Christoffer_second;1276;1332;1330;1332;2
Valdemar_fourth_atterdag;1320;1375;1340;1375;35
Oluf_second;1370;1387;1375;1387;12
Margrete_first;1353;1412;1387;1412;25
Erik_seventh_af_pommern;1382;1459;1412;1439;27
Christoffer_third_af_bayern;1416;1448;1440;1448;8
Christian_first;1426;1481;1448;1481;33
Hans;1455;1513;1481;1513;32
Christian_second;1481;1559;1513;1523;10
Frederik_first;1471;1533;1523;1533;10
Christian_third;1503;1559;1534;1559;25
Frederik_second;1534;1588;1559;1588;29
Christian_fourth;1577;1648;1588;1648;60
Frederik_third;1609;1670;1648;1670;22
Christian_fifth;1646;1699;1670;1699;29
Frederik_fourth;1671;1730;1699;1730;31
Christian_sixth;1699;1746;1730;1746;16
Frederik_fifth;1723;1766;1746;1766;20
Christian_seventh;1749;1808;1766;1808;42
Frederik_sixth;1768;1839;1808;1839;31
Christian_eigth;1786;1848;1839;1848;9
Frederik_seventh;1808;1863;1848;1863;15
Christian_ninth;1818;1906;1863;1906;43
Frederik_eigth;1843;1912;1906;1912;6
Christian_tenth;1870;1947;1912;1947;35
Frederik_ninth;1899;1972;1947;1972;25
Margrethe_second;1940;;1972;2024;52
Frederik_tenth;1968;;2024;;
